Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1783894524,646278301,34,0,0,0,0.00,1.25
1783894525,646277565,57,0,0,0,0.00,0.00
1783894526,646278069,47,0,0,0,0.00,0.25
1783894527,646277852,36,0,0,0,0.00,0.00
1783894528,646297671,48,0,0,0,0.00,0.50
1783894529,646297843,52,0,0,0,0.00,0.75
1783894530,646302125,56,0,0,0,0.00,1.00
1783894531,646297427,43,0,0,0,0.00,0.25
1783894532,646305635,51,2,2,0,0.00,1.50
1783894533,646298289,54,1,1,0,0.00,0.75
1783894534,646299924,62,0,0,0,0.00,1.00
1783894535,646304985,51,1,0,0,0.00,1.25
1783894536,646308305,36,0,0,0,0.00,0.75
1783894537,646299199,54,3,3,0,0.00,1.75
1783894538,646303168,44,1,1,0,0.00,1.25
1783894539,646296581,38,0,0,0,0.00,0.75
1783894540,646296142,52,0,1,0,0.00,0.75
1783894541,646292796,42,0,0,0,0.00,10.03
